model,scenario,augmentation,accuracy
resnet18,E1,A0,0.6
resnet18,E1,A1,0.45
resnet18,E1,A2,0.55
resnet18,E1,A3,0.6
resnet18,E2,A0,0.55
resnet18,E2,A1,0.4
resnet18,E2,A2,0.4
resnet18,E2,A3,0.45
resnet18,E3,A0,0.55
resnet18,E3,A1,0.45
resnet18,E3,A2,0.55
resnet18,E3,A3,0.5
resnet18,E4,A0,0.6
resnet18,E4,A1,0.4
resnet18,E4,A2,0.4
resnet18,E4,A3,0.55
mobilenet,E1,A0,0.9
mobilenet,E1,A1,0.8
mobilenet,E1,A2,0.75
mobilenet,E1,A3,0.75
mobilenet,E2,A0,0.85
mobilenet,E2,A1,0.85
mobilenet,E2,A2,0.85
mobilenet,E2,A3,0.7
mobilenet,E3,A0,0.9
mobilenet,E3,A1,0.8
mobilenet,E3,A2,0.95
mobilenet,E3,A3,0.95
mobilenet,E4,A0,0.85
mobilenet,E4,A1,0.85
mobilenet,E4,A2,0.9
mobilenet,E4,A3,0.8
